sample_idx,question,ground_truth,predicted,exact_match,model,timestamp
0,Tell me the height which has a surpassed by of book tower,"SELECT height_feet_m FROM table_name_2 WHERE surpassed_by = ""book tower""",SELECT height_feet_m FROM table_name_2 WHERE surpassed_by = 'book tower';,False,phi-2-base,2026-04-16T08:35:51.299740
1,"Who is the h.h. principal with Jim Haught as h.s. principal, Charlie Taylor as maplemere principal, and Rich Auerbach as w.r. principal?","SELECT hh_principal FROM table_name_55 WHERE hs_principal = ""jim haught"" AND maplemere_principal = ""charlie taylor"" AND wr_principal = ""rich auerbach""","SELECT hh_principal, wr_principal, hs_principal, maplemere_principal",False,phi-2-base,2026-04-16T08:35:58.450756
2,What is the original air date for the episode written by Bob Goodman?,"SELECT original_airdate FROM table_16581695_2 WHERE written_by = ""Bob Goodman""",SELECT original_airdate FROM table_16581695_2 WHERE written_by = 'Bob Goodman';,False,phi-2-base,2026-04-16T08:36:05.497873
3,"Which election has a conservative first party, Rowland Smith as first member, and Sir Henry Wilmot, Bt as second member?","SELECT election FROM table_name_11 WHERE first_party = ""conservative"" AND first_member = ""rowland smith"" AND second_member = ""sir henry wilmot, bt""","SELECT * FROM table_name_11 WHERE first_party = 'Conservative' AND first_member = 'Rowland Smith' AND second_member = 'Sir Henry Wilmot, Bt';",False,phi-2-base,2026-04-16T08:36:12.532638
4,"If the Season is later than 2008 and Races is 11, what ate the Points?","SELECT points FROM table_name_64 WHERE races = ""11"" AND season > 2008",SELECT * FROM table_name_64 WHERE season > '2008' AND races = '11',False,phi-2-base,2026-04-16T08:36:19.551913
5,"What television service has italian as the language, and sky famiglia as the package option?","SELECT television_service FROM table_name_20 WHERE language = ""italian"" AND package_option = ""sky famiglia""",SELECT television_service FROM table_name_20 WHERE language = 'italian' AND package_option ='sky famiglia';,False,phi-2-base,2026-04-16T08:36:26.525217
6,What is the highest NGC number that has a Declination ( J2000 ) of °04′58″ and a Apparent magnitude larger than 7.3?,"SELECT MAX(ngc_number) FROM table_name_5 WHERE declination___j2000__ = ""°04′58″"" AND apparent_magnitude > 7.3",SELECT * FROM table_name_5 WHERE declination___j2000__ = '°04′58″' AND apparent_magnitude > '7.3',False,phi-2-base,2026-04-16T08:36:33.514807
7,which Points has Wins smaller than 2?,SELECT MIN(points) FROM table_name_41 WHERE wins < 2,SELECT * FROM table_name_41 WHERE wins < 2,False,phi-2-base,2026-04-16T08:36:40.660910
8,What Gold has the Year of 1994?,SELECT gold FROM table_name_68 WHERE year = 1994,SELECT * FROM table_name_68 WHERE gold = '1994';,False,phi-2-base,2026-04-16T08:36:47.713072
9,Total number of laps at a time of +56.977?,"SELECT COUNT(laps) FROM table_name_31 WHERE time = ""+56.977""",SELECT COUNT(*) FROM table_name_31 WHERE laps = '+56.977';,False,phi-2-base,2026-04-16T08:36:54.841292
10,How old was the conservative party member that left the house in 2001?,"SELECT age_on_leaving FROM table_name_43 WHERE political_party = ""conservative"" AND left_house = ""2001""",SELECT age_on_leaving FROM table_name_43 WHERE political_party = 'Conservative' AND left_house = '2001';,False,phi-2-base,2026-04-16T08:36:59.931274
11,Who is the home team when Sheffield United is the away team?,"SELECT home_team FROM table_name_38 WHERE away_team = ""sheffield united""",SELECT home_team FROM table_name_38 WHERE away_team = 'Sheffield United';,False,phi-2-base,2026-04-16T08:37:07.071909
12,What position did Lee Gilmour play while having more than 4 Tries and 20 points?,"SELECT position FROM table_name_58 WHERE tries > 4 AND points = 20 AND player = ""lee gilmour""",SELECT position FROM table_name_58 WHERE tries > 4 AND points > 20;,False,phi-2-base,2026-04-16T08:37:14.105661
13,What tournament that Fernando Roca is the runner-up?,"SELECT tournament FROM table_name_14 WHERE runner_s__up = ""fernando roca""",SELECT tournament FROM table_name_14 WHERE runner_s__up = 'Fernando Roca',False,phi-2-base,2026-04-16T08:37:21.191277
14,"What is Score, when Game is greater than 78, and when Date is ""4""?",SELECT score FROM table_name_31 WHERE game > 78 AND date = 4,SELECT * FROM table_name_31 WHERE score ='score' AND game > '78' AND date = '4';,False,phi-2-base,2026-04-16T08:37:28.308012
15,What is the name of the school/s in North Manchester?,"SELECT school FROM table_1984697_85 WHERE city___town = ""North Manchester""",SELECT school FROM table_1984697_85 WHERE city___town = 'North Manchester',False,phi-2-base,2026-04-16T08:37:35.377774
16,"What was the team's record at the game attended by 30,452?","SELECT record FROM table_name_22 WHERE attendance = ""30,452""","SELECT record FROM table_name_22 WHERE attendance = '30,452';",False,phi-2-base,2026-04-16T08:37:42.520687
17,Name the candidates  in 1964,SELECT candidates FROM table_1341586_43 WHERE first_elected = 1964,SELECT candidates FROM table_1341586_43 WHERE first_elected = '1964',False,phi-2-base,2026-04-16T08:37:49.639067
18,Who was eliminated a person at 18:48?,"SELECT eliminated AS by FROM table_29692554_2 WHERE time = ""18:48""",SELECT eliminated FROM table_29692554_2 WHERE time = '18:48';,False,phi-2-base,2026-04-16T08:37:56.678487
19,Who is the incumbent democratic party in district florida 11?,"SELECT incumbent FROM table_1805191_10 WHERE party = ""Democratic"" AND district = ""Florida 11""","SELECT incumbent, party, district FROM table_1805191_10 WHERE district = 'florida 11' AND party = 'democratic'",False,phi-2-base,2026-04-16T08:38:03.740728
20,"Which box score has an Attendance of 54,773?","SELECT boxscore FROM table_name_32 WHERE attendance = ""54,773""","SELECT boxscore FROM table_name_32 WHERE attendance = '54,773';",False,phi-2-base,2026-04-16T08:38:10.848231
21,What is the average decile of Westport South School?,"SELECT AVG(decile) FROM table_name_5 WHERE name = ""westport south school""",SELECT AVG(decile) FROM table_name_5 WHERE name = 'Westport South School';,False,phi-2-base,2026-04-16T08:38:15.444628
22,How many laps are associated with a time of + 1:39.591?,"SELECT laps FROM table_name_37 WHERE time_retired = ""+ 1:39.591""",SELECT COUNT(*) FROM table_name_37 WHERE time_retired = '+ 1:39.591';,False,phi-2-base,2026-04-16T08:38:20.978669
23,Count the Pommel Horse that has Rings smaller than 59.85 and a Team Total larger than 361.2?,SELECT SUM(pommel_horse) FROM table_name_6 WHERE rings < 59.85 AND team_total > 361.2,SELECT COUNT(pommel_horse) FROM table_name_6 WHERE rings < 59.85 AND team_total > 361.2,False,phi-2-base,2026-04-16T08:38:27.863147
24,What was the 2011 population of pavliš?,"SELECT population__2011_ FROM table_2562572_46 WHERE settlement = ""Pavliš""",SELECT population__2011_,False,phi-2-base,2026-04-16T08:38:34.861340
